"place"
"196km S of Taron, Papua New Guinea"
"193km SE of Raoul Island, New Zealand"
"Bonin Islands, Japan region"
"201km SSE of Mata-Utu, Wallis and Futuna"
"193km SSE of Mata-Utu, Wallis and Futuna"
"154km NNW of Visokoi Island, "
"138km ESE of Iwo Jima, Japan"
"55km ESE of Buldir Island, Alaska"
"19km SE of Little Sitkin Island, Alaska"
"79km SSE of Raoul Island, New Zealand"
"83km SSE of Raoul Island, New Zealand"
"80km SSE of Raoul Island, New Zealand"
"85km WNW of Sola, Vanuatu"
"South Indian Ocean"
"265km WSW of Tomatlan, Mexico"
"22km SSW of Kamariotissa, Greece"
"51km WSW of Alim, Philippines"
"106km SSE of Ifalik, Micronesia"
"103km SSE of Ifalik, Micronesia"
"110km SE of Punta de Burica, Panama"
"Southern East Pacific Rise"
"6km WSW of Tecpan de Galeana, Mexico"
"West Chile Rise"
"13km NNW of Phan, Thailand"
"South of the Fiji Islands"
"South of the Fiji Islands"
"204km WNW of Ile Hunter, New Caledonia"
"66km NE of Nuku`alofa, Tonga"
"120km S of Port Hardy, Canada"
"95km S of Panguna, Papua New Guinea"
"70km SW of Panguna, Papua New Guinea"
"57km SW of Panguna, Papua New Guinea"
"33km ESE of Petatlan, Mexico"
"120km WSW of Lata, Solomon Islands"
"Balleny Islands region"
"Bouvet Island region"
"75km S of Kirakira, Solomon Islands"
"112km S of Kirakira, Solomon Islands"
"93km SSE of Kirakira, Solomon Islands"
"91km SSW of Panguna, Papua New Guinea"
"15km N of Belen, Nicaragua"
"78km SW of Panguna, Papua New Guinea"
"56km WSW of Panguna, Papua New Guinea"
"72km SW of Iquique, Chile"
"16km SW of Valle San Francisco, Nicaragua"
"70km SW of Iquique, Chile"
"78km SW of Iquique, Chile"
"53km SW of Iquique, Chile"
"46km WSW of Iquique, Chile"
"91km WNW of Iquique, Chile"
"94km NW of Iquique, Chile"
"South of the Fiji Islands"
"94km NW of Iquique, Chile"
"91km WNW of Iquique, Chile"
"114km ESE of Mohean, India"
"80km WNW of Iquique, Chile"
"64km WNW of Iquique, Chile"
"16km W of Sechura, Peru"
"24km S of Paracas, Peru"
"15km NNE of Kunisaki-shi, Japan"
"184km SE of Lorengau, Papua New Guinea"
"East of the South Sandwich Islands"
"78km WNW of Ferndale, California"
"262km ESE of Sola, Vanuatu"
"111km NNW of Nago, Japan"
"33km SW of Jiquilillo, Nicaragua"
"129km NNW of Amukta Island, Alaska"
"172km NNE of Bathsheba, Barbados"
"272km ESE of Hotan, China"
"34km E of Port-Olry, Vanuatu"
"189km SSE of L'Esperance Rock, New Zealand"
"16km SSW of Visokoi Island, "
"1km ENE of Lixourion, Greece"
"38km SSE of Adipala, Indonesia"
"133km NW of Hihifo, Tonga"
"35km NNE of Masterton, New Zealand"
"61km N of Hatillo, Puerto Rico"
"32km W of Sola, Vanuatu"
"198km E of Farallon de Pajaros, Northern Mariana Islands"
"Kepulauan Barat Daya, Indonesia"
"Falkland Islands region"
"Fiji region"
"Scotia Sea"
"Scotia Sea"
"Scotia Sea"
"172km S of Ust'-Kamchatsk Staryy, Russia"
"152km ESE of Neiafu, Tonga"
"41km SSW of Coquimbo, Chile"
"46km SSW of Hualian, Taiwan"
"88km W of Constitucion, Chile"
"Off the east coast of Honshu, Japan"
"East of the South Sandwich Islands"
"99km SW of Etchoropo, Mexico"
"62km WSW of Panguna, Papua New Guinea"
"4km SE of Sagbayan, Philippines"
"31km W of Platanos, Greece"
"94km NNE of L'Esperance Rock, New Zealand"
"West Chile Rise"
"113km SE of Amsterdam Island, "
"Sea of Okhotsk"
"78km NE of L'Esperance Rock, New Zealand"
"85km NNE of Awaran, Pakistan"
"46km SSE of Acari, Peru"
"Southern East Pacific Rise"
"61km NNE of Awaran, Pakistan"
"111km NNW of Nggilat, Indonesia"
"77km SSW of Atka, Alaska"
"Central East Pacific Rise"
