"","X","t","pd","Country","Mag","R","PR","S","n1","pdr"
"1309",1309,29,0.99805895080517,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.937672040696728
"1310",1310,30,0.99843497758828,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.943360390636231
"1311",1311,31,0.998738159158609,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.948529594346722
"1312",1312,32,0.998982607343461,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.953227031614954
"1313",1313,33,0.999179700178005,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.957495758120002
"1314",1314,34,0.999338611504968,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.961374900072176
"1315",1315,35,0.999466737978441,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.964900012835272
"1316",1316,36,0.99957004334703,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.968103406819239
"1317",1317,37,0.999653336041272,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.9710144436303
"1318",1318,38,0.999720492985861,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.973659805192994
"1319",1319,39,0.99977464005419,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.97606373831084
"1320",1320,40,0.999818297564618,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.978248276907218
"1321",1321,41,0.999853497590688,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.980233443983471
"1322",1322,42,0.999881878545605,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.982037435145346
"1323",1323,43,0.999904761443489,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.983676785379919
"1324",1324,44,0.999923211387019,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.985166520611661
"1325",1325,45,0.999938087143489,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.986520295426759
"1326",1326,46,0.999950081116815,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.987750518228065
