"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"4341","2017-01-23T21:52:19.710Z",-35.6153,179.5802,45.03,4.7,"mb",NA,135,2.196,0.55,"us","us10007v5k","2017-04-19T18:30:57.040Z","Off the east coast of the North Island of New Zealand","earthquake",12.7,2.5,0.117,22,"reviewed","us","us","Off the east coast of the North Island of New Zealand"
"4361","2017-01-22T21:41:53.620Z",-33.4783,-177.9447,31.75,5,"mb",NA,98,4.22,0.92,"us","us20008i5r","2017-04-19T18:30:55.040Z","243km SSE of L'Esperance Rock, New Zealand","earthquake",10,5,0.113,25,"reviewed","us","us","New Zealand"
"4363","2017-01-22T21:00:15.910Z",-37.9523,177.7879,63.51,5,"mwr",NA,71,0.566,1.26,"us","us10007uvw","2017-04-19T18:30:55.040Z","46km ENE of Opotiki, New Zealand","earthquake",6.1,4.5,0.075,17,"reviewed","us","us","New Zealand"
"4392","2017-01-21T17:53:32.290Z",-33.0609,-177.6883,10,5,"mb",NA,72,3.809,1.45,"us","us10007un8","2017-04-12T02:29:04.040Z","213km SSE of L'Esperance Rock, New Zealand","earthquake",9.4,1.7,0.082,48,"reviewed","us","us","New Zealand"
"4484","2017-01-16T00:41:50.740Z",-30.1713,-177.7853,24.04,4.8,"mb",NA,62,0.931,1.37,"us","us10007tfd","2017-04-12T02:28:57.040Z","100km S of Raoul Island, New Zealand","earthquake",8,5.6,0.058,91,"reviewed","us","us","New Zealand"
"4492","2017-01-15T09:29:33.010Z",-30.0098,-177.7221,11.89,4.7,"mb",NA,107,0.783,1.29,"us","us10007wfs","2017-04-12T02:28:57.040Z","84km SSE of Raoul Island, New Zealand","earthquake",11,6.8,0.134,17,"reviewed","us","us","New Zealand"
"4505","2017-01-14T18:19:29.040Z",-29.9897,-177.4664,10,4.8,"mb",NA,138,0.844,1.16,"us","us10007w7m","2017-04-01T00:26:13.040Z","90km SSE of Raoul Island, New Zealand","earthquake",6.7,1.9,0.101,32,"reviewed","us","us","New Zealand"
"4546","2017-01-12T04:38:53.640Z",-26.8523,-176.9416,64.42,4.9,"mb",NA,100,2.538,0.62,"us","us10007vrr","2017-04-01T00:26:10.040Z","283km NNE of Raoul Island, New Zealand","earthquake",11.8,7,0.072,60,"reviewed","us","us","New Zealand"
"4593","2017-01-10T02:51:51.290Z",-38.5799,175.9164,187.05,4.5,"mb",NA,57,0.737,0.93,"us","us10007s8b","2017-04-01T00:26:07.040Z","18km NW of Taupo, New Zealand","earthquake",6.6,3.3,0.145,14,"reviewed","us","us","New Zealand"
"4639","2017-01-07T08:23:22.930Z",-42.4458,173.9407,6.66,4.5,"mb",NA,134,0.298,0.49,"us","us10007ru6","2017-03-27T23:53:26.040Z","21km ESE of Kaikoura, New Zealand","earthquake",4.2,6.1,0.204,7,"reviewed","us","us","New Zealand"
"4643","2017-01-07T05:31:29.110Z",-37.2955,179.061,10,4.5,"mb",NA,244,0.657,0.51,"us","us10007v7l","2017-03-27T23:53:26.040Z","177km NNE of Gisborne, New Zealand","earthquake",10.5,2,0.18,9,"reviewed","us","us","New Zealand"
"4661","2017-01-06T16:46:11.100Z",-37.8907,177.6819,53.2,4.9,"mww",NA,116,0.594,1.22,"us","us10007rqs","2017-03-27T23:53:25.040Z","41km ENE of Opotiki, New Zealand","earthquake",6.3,4.4,NA,NA,"reviewed","us","us","New Zealand"
"4678","2017-01-05T11:17:34.790Z",-41.8341,174.0614,17.04,5.4,"mww",NA,84,0.142,1.02,"us","us10007rb1","2017-03-27T23:53:23.040Z","36km SSE of Blenheim, New Zealand","earthquake",3.1,3,NA,NA,"reviewed","us","us","New Zealand"
"4742","2017-01-03T18:38:24.290Z",-28.1292,-175.4357,10,4.9,"mb",NA,104,14.268,0.76,"us","us10007ud5","2017-03-27T23:53:20.040Z","271km ENE of Raoul Island, New Zealand","earthquake",10.2,1.9,0.102,32,"reviewed","us","us","New Zealand"
"4809","2016-12-31T01:41:44.870Z",-32.6962,-179.8347,9.55,4.6,"mb",NA,73,5.088,0.59,"us","us10007ty8","2017-03-23T22:52:10.040Z","165km SSW of L'Esperance Rock, New Zealand","earthquake",11.3,6,0.132,17,"reviewed","us","us","New Zealand"
"4810","2016-12-30T22:04:40.310Z",-32.9441,-179.8061,104.49,4.6,"mb",NA,157,4.859,0.52,"us","us10007tr8","2017-03-23T22:52:10.040Z","188km SSW of L'Esperance Rock, New Zealand","earthquake",17.1,16.8,0.314,3,"reviewed","us","us","New Zealand"
"4814","2016-12-30T19:31:53.210Z",-31.2096,-178.5847,10,4.6,"mb",NA,173,6.837,1.25,"us","us10007tr5","2017-03-23T22:52:10.040Z","38km NE of L'Esperance Rock, New Zealand","earthquake",14.7,1.8,0.172,10,"reviewed","us","us","New Zealand"
"4817","2016-12-30T13:11:20.780Z",-32.7096,-179.6688,10,4.8,"mb",NA,188,5.117,0.95,"us","us10007nrx","2017-03-23T22:52:10.040Z","159km SSW of L'Esperance Rock, New Zealand","earthquake",8,2,0.154,13,"reviewed","us","us","New Zealand"
"4818","2016-12-30T12:56:10.970Z",-30.5784,-177.7756,10,5.4,"mb",NA,59,7.686,0.94,"us","us10007nrl","2017-03-23T22:52:10.040Z","143km NE of L'Esperance Rock, New Zealand","earthquake",9.2,1.7,0.042,192,"reviewed","us","us","New Zealand"
"4827","2016-12-30T02:58:10.620Z",-33.5518,-177.8589,10,5,"mb",NA,69,4.293,0.86,"us","us10007nnf","2017-03-23T22:52:09.040Z","254km SSE of L'Esperance Rock, New Zealand","earthquake",5,1.8,0.094,36,"reviewed","us","us","New Zealand"
"4836","2016-12-29T13:42:21.740Z",-32.8487,-178.8238,10,4.7,"mb",NA,166,3.673,1.05,"us","us10007njd","2017-03-23T22:52:08.040Z","157km S of L'Esperance Rock, New Zealand","earthquake",10.1,1.9,0.142,15,"reviewed","us","us","New Zealand"
