"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"205884","1978-12-01T17:35:19.200Z",11.811,-86.841,33,5,"mb",NA,NA,NA,NA,"us","usp0000xqg","2014-11-06T23:21:54.264Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"206784","1978-08-13T10:52:30.500Z",11.17,-86.074,71,4.7,"mb",NA,NA,NA,NA,"us","usp0000w1g","2014-11-06T23:21:51.462Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"206978","1978-07-20T09:34:47.200Z",12.15,-86.628,121,5.3,"mb",NA,NA,NA,NA,"us","usp0000vne","2016-11-09T23:01:40.614Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"207026","1978-07-13T17:16:14.200Z",11.613,-86.84,65,4.7,"mb",NA,NA,NA,NA,"us","usp0000vjf","2014-11-06T23:21:50.332Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"207075","1978-07-07T08:37:24.200Z",11.105,-86.611,79,4.5,"mb",NA,NA,NA,NA,"us","usp0000vf8","2014-11-06T23:21:50.228Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"207148","1978-06-28T10:21:38.300Z",12.364,-86.68,80,4.6,"mb",NA,NA,NA,NA,"us","usp0000vbm","2014-11-06T23:21:50.108Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"207343","1978-06-05T05:10:27.700Z",11.939,-86.876,163,4.5,"mb",NA,NA,NA,NA,"us","usp0000ux4","2014-11-06T23:21:49.536Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"207391","1978-05-31T01:07:22.400Z",12.767,-87.157,76,5.4,"mb",NA,NA,NA,NA,"us","usp0000uup","2017-04-26T17:31:45.911Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"207564","1978-05-15T21:16:47.600Z",11.411,-86.459,95,4.6,"mb",NA,NA,NA,NA,"us","usp0000uje","2014-11-06T23:21:49.141Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"207630","1978-05-08T02:30:26.900Z",11.475,-87.585,33,4.5,"mb",NA,NA,NA,NA,"us","usp0000uem","2014-11-06T23:21:48.940Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"207696","1978-04-26T21:00:54.000Z",11.621,-86.635,33,5,"mb",NA,NA,NA,NA,"us","usp0000u9u","2014-11-06T23:21:48.754Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"207809","1978-04-12T16:51:08.200Z",12.612,-87.856,64,5.1,"mb",NA,NA,NA,NA,"us","usp0000u2e","2014-11-06T23:21:48.485Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"208680","1978-01-28T17:48:51.300Z",12.632,-87.433,87,4.5,"mb",NA,NA,NA,NA,"us","usp0000sr0","2014-11-06T23:21:46.759Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"208835","1978-01-12T02:32:01.000Z",11.536,-86.829,33,4.7,"mb",NA,NA,NA,NA,"us","usp0000sf7","2014-11-06T23:21:46.366Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"209572","1977-10-28T09:30:30.900Z",11.521,-86.939,65,4.7,"mb",NA,NA,NA,NA,"us","usp0000r8s","2014-11-06T23:21:44.967Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"209586","1977-10-26T19:39:40.200Z",11.733,-86.952,71,4.7,"mb",NA,NA,NA,NA,"us","usp0000r82","2014-11-06T23:21:44.942Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"209650","1977-10-20T09:20:34.800Z",11.709,-86.969,69,5.2,"mb",NA,NA,NA,NA,"us","usp0000r4y","2014-11-06T23:21:44.819Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"209684","1977-10-18T14:37:18.300Z",11.487,-87.065,56,4.6,"mb",NA,NA,NA,NA,"us","usp0000r3k","2014-11-06T23:21:44.704Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"209888","1977-09-30T07:10:25.300Z",11.246,-85.828,66,5.2,"mb",NA,NA,NA,NA,"us","usp0000quu","2016-11-09T23:36:19.288Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"210141","1977-09-03T22:33:07.000Z",12.54,-87.532,79,5.3,"mb",NA,NA,NA,NA,"us","usp0000qft","2016-11-09T23:23:35.922Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"210499","1977-08-04T13:20:52.500Z",12.346,-87.294,33,5.4,"mb",NA,NA,NA,NA,"us","usp0000pzd","2014-11-06T23:21:43.348Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"211540","1977-04-18T13:03:24.800Z",11.38,-85.624,201,4.8,"mb",NA,NA,NA,NA,"us","usp0000nf8","2014-11-06T23:21:41.165Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
