"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"219266","1975-01-22T17:26:38.100Z",31.899,78.507,51,4.7,"mb",NA,NA,NA,NA,"us","usp00009ks","2014-11-06T23:21:28.508Z","western Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang-India border region"
"219287","1975-01-20T13:24:12.700Z",32.126,78.546,33,4.6,"mb",NA,NA,NA,NA,"us","usp00009jy","2014-11-06T23:21:28.477Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219288","1975-01-20T11:06:53.900Z",32.501,78.566,48,4.8,"mb",NA,NA,NA,NA,"us","usp00009jx","2014-11-06T23:21:28.475Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219295","1975-01-19T13:04:36.600Z",32.131,78.642,33,5,"mb",NA,NA,NA,NA,"us","usp00009jm","2014-11-06T23:21:28.464Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219297","1975-01-19T09:12:55.600Z",32.414,78.531,33,4.7,"mb",NA,NA,NA,NA,"us","usp00009jh","2014-11-06T23:21:28.461Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219298","1975-01-19T08:18:23.800Z",32.112,78.508,33,4.8,"mb",NA,NA,NA,NA,"us","usp00009jg","2014-11-06T23:21:28.460Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219299","1975-01-19T08:12:08.100Z",31.95,78.521,33,6,"mb",NA,NA,NA,NA,"us","usp00009jf","2015-05-13T18:53:10.000Z","western Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang-India border region"
"219301","1975-01-19T08:02:02.500Z",32.455,78.43,33,6.8,"ms",NA,NA,NA,NA,"us","usp00009jd","2017-04-26T17:28:09.146Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219302","1975-01-19T08:00:24.300Z",32.437,78.599,60,5.3,"mb",NA,NA,NA,NA,"us","usp00009jc","2014-11-06T23:21:28.456Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219333","1975-01-14T17:18:38.600Z",30.562,97.193,33,4.7,"mb",NA,NA,NA,NA,"us","usp00009gx","2014-11-06T23:21:28.401Z","eastern Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","eastern Xizang"
"219846","1974-11-10T06:55:50.900Z",31.501,86.359,33,4.5,"mb",NA,NA,NA,NA,"us","usp00008r8","2014-11-06T23:21:27.350Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"219920","1974-10-31T04:26:23.500Z",31.24,85.33,33,4.6,"mb",NA,NA,NA,NA,"us","usp00008me","2014-11-06T23:21:27.080Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
