"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"185745","1984-07-14T12:42:51.180Z",-59.575,149.633,10,4.9,"mb",NA,NA,NA,1.5,"us","usp00025r5","2014-11-07T00:35:11.455Z","west of Macquarie Island","earthquake",NA,NA,NA,3,"reviewed","us","us","west of Macquarie Island"
"185894","1984-07-02T14:25:26.170Z",-54.871,158.889,10,5.5,"mw",NA,NA,NA,1.6,"us","usp00025f1","2016-11-09T22:53:35.192Z","Macquarie Island region","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","Macquarie Island region"
"186304","1984-05-23T05:16:33.170Z",-51.95,161.089,10,6.1,"mw",NA,NA,NA,1.2,"us","usp00024k1","2016-11-09T22:35:32.290Z","north of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","north of Macquarie Island"
"186503","1984-05-04T00:24:20.630Z",-55.514,146.555,10,5.6,"mw",NA,NA,NA,1.1,"us","usp0002444","2016-11-09T22:26:53.260Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"186798","1984-04-06T04:13:18.910Z",-55.511,147.076,10,6.1,"mw",NA,NA,NA,1.3,"us","usp00023a6","2016-11-09T22:14:38.232Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"186819","1984-04-04T09:24:38.700Z",-55.257,145.943,10,5,"mb",NA,NA,NA,1.1,"us","usp000238s","2014-11-07T00:34:43.985Z","west of Macquarie Island","earthquake",NA,NA,NA,2,"reviewed","us","us","west of Macquarie Island"
"186824","1984-04-03T22:34:57.230Z",-55.601,146.056,10,4.7,"mb",NA,NA,NA,1,"us","usp000238a","2014-11-07T00:34:43.895Z","west of Macquarie Island","earthquake",NA,NA,NA,3,"reviewed","us","us","west of Macquarie Island"
"186825","1984-04-03T22:01:36.690Z",-55.611,146.764,10,4.7,"mb",NA,NA,NA,1.4,"us","usp0002388","2014-11-07T00:34:43.882Z","west of Macquarie Island","earthquake",NA,NA,NA,4,"reviewed","us","us","west of Macquarie Island"
"186828","1984-04-03T18:31:00.230Z",-55.586,146.63,10,5.1,"mb",NA,NA,NA,0.9,"us","usp0002383","2014-11-07T00:34:43.817Z","west of Macquarie Island","earthquake",NA,NA,NA,9,"reviewed","us","us","west of Macquarie Island"
"186829","1984-04-03T18:09:59.340Z",-55.597,146.363,10,5,"mb",NA,NA,NA,1.2,"us","usp0002382","2014-11-07T00:34:43.802Z","west of Macquarie Island","earthquake",NA,NA,NA,7,"reviewed","us","us","west of Macquarie Island"
