Year,Mo,Dy,Tsu,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Num,De,Num,De,$Mill,De,Num,De,,
2014,9,27,,,*,On-take,Honshu-Japan,Japan,35.9,137.48,3063,Complex volcano,3,,55,2,70,2,,,,,
2014,11,10,,,*,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,,,,,14.5,3,1,1,
2014,11,23,,,*,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,,,,,,,,2,230,3,
2014,12,18,,,*,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,,,1,1,4,1,,,,,
2015,2,20,,,*,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,,,1,,1,
2015,4,22,,,*,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,,,,,,,,2,,2,
2015,5,7,,,*,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,,,,,,,,1,,1,
2015,7,31,,,*,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,2,,,,2,1,,1,,,
2015,10,16,,,*,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,M,1,1,,,,1,,,
2015,10,,,,*,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,I,1,1,,,,,,,
2016,5,9,,,*,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,1,1,4,1,,1,3,1,
2016,5,21,,,*,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,7,1,3,1,100,4,,,
2016,6,9,,,*,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,,,1,1,,,,,,,
2016,9,27,,,*,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,,,,,,,,,,,
2016,10,8,,,*,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,,T,,,,,,1,,,
2017,4,13,,,*,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,P,,,,,,1,,2,
2017,7,1,,,*,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,,,8,1,11,1,,,,,
2017,9,12,,,*,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,,3,1,,,,,,,
2017,9,23,,,*,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,,T,,,,,,1,,,
2017,10,29,,,*,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,1,1,,,,,,,
