Year,Mo,Dy,Tsu,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Num,De,Num,De,$Mill,De,Num,De,,
1961,8,18,,,*,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,T,1,1,,,,,,,
1962,6,29,,,*,Tokachi,Hokkaido-Japan,Japan,43.42,142.68,2077,Stratovolcano,3,T,5,1,11,1,,,,,
1962,10,,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,,m,2,1,,,,,,,
1962,12,31,,,*,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,2,,5,1,5,1,,,,,
1963,3,17,Tsu,,*,Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,3142,Stratovolcano,4,"P,T,M,A",1028,4,624,3,,,,,
1963,3,17,,,*,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,3,T,15,1,,,,,,,
1963,5,5,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,2,T,1,1,,,,,,,
1963,5,16,,Eq,*,Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,3142,Stratovolcano,3,,120,2,,,,,,,
1963,5,21,,,*,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M,,1,,,,,,,
1963,9,5,,,*,Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,1717,Caldera,2,,2,1,,,,,,1,
1963,9,28,,,*,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,M,7,1,,,,,,,
1963,12,10,,,*,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,3,"M,T",40,1,,1,,,400,3,
1964,1,1,,,*,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,,1,1,3,1,,,,,
1964,3,3,,,*,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M,25,1,,,,,,,
1964,12,13,,,*,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,1,,114,3,,,,,,,
1965,9,28,Tsu,,*,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,4,"P,W",355,3,,,,1,,1,
1966,1,13,Tsu,,*,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,3,,,,,,,,,,
1966,4,26,,,*,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,"M,m,P",215,3,86,2,,,,,
1966,8,12,,,*,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320,Stratovolcano,4,"P,M,I",39,1,1000,3,,,,2,
1966,8,14,,,*,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,2890,Stratovolcano,4,,,,,,,1,,,
1967,7,8,,,*,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,2890,Stratovolcano,3,,,,,,,1,,,
1967,8,31,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,M,3,1,,,,1,,,
1967,12,4,Tsu,,*,Deception Island,Antarctica,Antarctica,-62.97,-60.65,576,Caldera,3,,,,,,,,,,
1968,4,21,,,*,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,"M,P",6,1,,,,,,,
1968,7,29,,,*,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,3,"P,T",80,2,,,,,,,
