"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"109306","2002-02-03T09:26:43.350Z",38.632,30.902,10,6,"mwb",450,NA,NA,0.91,"us","usp000axpg","2017-04-26T17:59:50.417Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Turkey"
"109308","2002-02-03T07:14:36.420Z",38.701,30.872,10,5.5,"mb",56,NA,NA,0.95,"us","usp000axp8","2017-04-26T17:59:49.812Z","western Turkey","earthquake",NA,NA,NA,29,"reviewed","us","us","western Turkey"
"109309","2002-02-03T07:11:28.410Z",38.573,31.271,5,6.5,"mwc",482,NA,NA,NA,"us","usp000axp7","2017-04-26T17:59:49.222Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","isk","hrv","western Turkey"
"109441","2002-01-21T14:34:23.370Z",38.664,27.881,10,4.6,"mb",206,NA,NA,1.12,"us","usp000awx2","2017-04-26T17:59:47.426Z","western Turkey","earthquake",NA,NA,NA,73,"reviewed","us","us","western Turkey"
"110054","2001-12-02T04:11:48.250Z",38.435,43.253,33,4.7,"mb",84,NA,NA,1.12,"us","usp000atva","2014-11-07T01:14:24.005Z","eastern Turkey","earthquake",NA,NA,NA,41,"reviewed","us","us","eastern Turkey"
"110475","2001-10-31T12:33:52.810Z",37.249,36.136,10,5.1,"mb",271,NA,NA,0.93,"us","usp000arzg","2017-04-26T17:59:27.697Z","central Turkey","earthquake",NA,NA,NA,125,"reviewed","us","us","central Turkey"
"110650","2001-10-18T15:50:30.890Z",36.899,35.207,33,4.7,"mb",116,NA,NA,1.24,"us","usp000ar6h","2014-11-07T01:14:00.733Z","central Turkey","earthquake",NA,NA,NA,50,"reviewed","us","us","central Turkey"
"111325","2001-08-26T00:41:13.170Z",40.951,31.573,7.8,5,"mb",332,NA,NA,NA,"us","usp000an1e","2017-04-26T17:59:17.182Z","western Turkey","earthquake",NA,NA,NA,143,"reviewed","isk","us","western Turkey"
"111453","2001-08-20T18:50:40.270Z",40.169,42.122,10,4.5,"mb",76,NA,NA,1.16,"us","usp000amrt","2014-11-07T01:13:34.839Z","eastern Turkey","earthquake",NA,NA,NA,27,"reviewed","us","us","eastern Turkey"
"111925","2001-07-10T21:42:08.840Z",39.832,41.623,33,5.4,"mwc",269,NA,NA,1.06,"us","usp000ajbh","2017-04-26T17:59:12.593Z","eastern Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","eastern Turkey"
"112188","2001-06-25T13:28:46.510Z",37.238,36.206,5,5.5,"mwc",288,NA,NA,1.29,"us","usp000ahe3","2017-04-26T17:59:08.524Z","central Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","central Turkey"
"112328","2001-06-22T11:54:50.960Z",39.305,27.905,10,4.6,"mb",243,NA,NA,1.39,"us","usp000ah28","2014-11-07T01:13:06.364Z","western Turkey","earthquake",NA,NA,NA,68,"reviewed","us","us","western Turkey"
